text,date,h_date
"War an einem Krieg bei den pyramiden  von gjzeh beteiligt. Wir kamen in vollmontur von norden her Richtung pyramiden. Luk und andere waren auch dabei, wir hatten Rucksäcke und schwere spezialwaffen dabei. Wir gingen die pyramiden, wo wir rasten durften, nahmen dann unser Zeugs wieder und gingen zurück in den norden. Es war nacht, der Krieg war erbarmungslos.",1345971600000,2012-08-26 09:00:00
"Ich erklärte jemandem, bitzi oder so, wie unsere Trips denn seien. Er wollte mir nicht glauben dass sie so stark waren. Ich und j. Lachten, denn er wollte sich ein ganzer bogen reinhauen. Es war bei einer Ruine, in der grünen Natur.",1346230920000,2012-08-29 09:02:00
"Ein Haus war von faschos besetzt, eine Frau aber tat etwas, so dass wir trotzdem tagsüber im Innenhof sein konnten.
Das haustier, welches ein grösseres skorpion war, flüchtete über die türschwelle in die Wohnung. Ein anderes grösseres Tier verfolgte es.",1346230860000,2012-08-29 09:01:00
"Stefan und basil Becken mich sehr früh am morgen, ich müsse nun mit ihnen gras kaufen/suchen gehen.
Ich wurde sehr sauer. Wir fuhren ins Tal, welches aussah wie bei gorzegno wenn man vom Hoger runter kam Richtung das troiahaus.
Da kommunizierte basil dann per öffentliche LCD-anzeigetafel mit Mario gelb. Er bestellte bei ihm gras. Mario antwortete sehr prompt mit einer Art Code. Denn jeder konnte lesen was sie schrieben.",1346230800000,2012-08-29 09:00:00
"In China an einer museumsführung teilgenommen. Sie war auf französisch. Der Chinese erklärte mir ein zusammensetzspiel, welches normalerweise für behinderte gedacht sei. Man müsse eine ""Prün"" zusammensetzen, aus diversen holzteielen, halbschalenförmig und verschieden gefärbt. Ich müsse auf den reifestadium achten. Ich verstand ihn aber nicht und ging raus um die 3 schönlinge zu hohlen, sie waren recht schwul könnten aber gut französisch. Aber auch sie schafften es nicht.",1346317380000,2012-08-30 09:03:00
"Ich flog mit einem Helikopter zu einer Baustelle von Daniel Huber. Der Helikopter stürzte beim landen ab, ich kam gerade noch raus. Die rotoren  waren dünne schmale plastiklamellen in militärischen stoffhüllen. Ich war erstaunt dass die rotoren nicht stabiler waren. Der Pilot sagte die seien alle so. Ich ging auf ein toitoi um zu Scheissen, es gab kein oder zu wenig wcpapier. Ich regte mich auf denn auf den toitoi für poliere und vorgesetzte gab es genug wcpapier. Ich schiss jemand zusammen deswegen. Dann ging ich zu Daniel  auf die Baustelle. Er war gerade daran mit Leuten eine steinbrücke über einem reissenden Bach zu richten und stabilisieren. Er riss mir mein stecken aus der hand, um ihn als Hebel zu gebrauchen, ich aber riss ihn an mich zurück, und suchte einen dieckeren stecken, in einer holzbeige. Ein Mann stürzte in den zwischenspalt , etwa 4 Meter tief und 1 Meter oder weniger breit, konnte sich aber retten. Dann stürzte die Brücke ein.
Auf der anderen Talente stehend beobachtete ich Kinder die sich in die fluten des tosenden Flusses stürzten. Der Fluss ging reißend mit Grossen Wellen zu Tal, aus einer engen felsigen und hohen schlucht kommend, worüber Daniel vorhin die Brücke zu stabilisieren versuchte.
Ich warnte die Kinder, sie würden das nicht überleben.
Sie sagten mir es käme auf den Typ Mensch an, gewisse würden das es überleben, andere nicht, aber es sei ihnen viel lieber als hierzubleiben.
Ein Vater aber esstürzte sich in die fluten um ein kleiner Bube zu retten.",1346317260000,2012-08-30 09:01:00
"Ich lag in einem Zimmer mit 2 Jungen Frauen, die eine blond, die andere schwarzhaarig.
Die blonde verführt mich mit ihren blicken, sie zog mich aus und legte sich über mich.
Ich lag quer auf einem doppelbett, mit dem Kopf gegen die eingangswand, die Füsse auf dem Boden, auf dem rücken.
Sie wollte mich gerade ficken, sie hatte sehr schöne Augen und Grosse, Runde brüste.
Die schwarzhaarige ermutigt sie zuerst, riss dann aber die Tür auf und rief ihren Eltern zu: schaut was die da macht!
Die Eltern waren empört und Schissen die blonde zusammen. Der Vater war der Vater von raffaela (Kollegin von j.).
Ich zog mich an und ging raus in die Küche. Ein roter säumerledermantel lag da über einem Stuhl, der Vater benutzte ihn zum töfffahren, machte sich aber lustig über lederjacken-Träger.
Im Garten war die Mutter am Wäsche aufhängen, und ich sagte ihr die schwarzhaarige sei gemein, denn sie habe ihre Schwester zuerst ermutigt, dann verraten. Sie sagte: naja, du gehörst trotzdem zur Familie. Sie war nicht böse.",1346317200000,2012-08-30 09:00:00
"Im Hotel wo wir schliefen, waren die Zimmer anders angeordnet., vom Schlafzimmer konnte man zum wc durch den Raum wo die dusche war, aber nun ein Gang war, und ein 2es und ein drittes Zimmer. Alles war riesig. Draussen wo in echt die Strasse war, war ein Garten, eingemauert  mit einer etwa 2 Meter hohen steinmauer. Der Garten war in einem abhang. Die mauer war oben rund. Unterhalb der mauer war ein weg, welchen ich hoch und runter ging. Ein kleines Kind war auch da. Es war warm und sonnig.",1346576400000,2012-09-02 09:00:00
"Von einem Motorrad. In echt kam danach eins, mitten in der Natur, beim windigen  Hügel.",1346662800000,2012-09-03 09:00:00
"Am Bahnhof von Barcelona, welcher aber  keine Züge hatte sondern nur aus hallen bestand, so halbrunddachhallen, wie eine markthalle.
Wir waren davor, gingen noch rein bevor sie abschlossen. Es wurde über Nacht zu einer Penner Herberge. Aber es war sicher.
Ein alter Mann kam von Süden mit einem alten oldmobile, und fuhr geradewegs in einen betonpfeiler, so dass das Auto vorne ganz eingedrückt  wurde. Ich musste deswegen fest lachen. Vor dem Bahnhof trafen wir noch curry, welche einen Ofen drehte und sich selbst anzurufen versuchte gleichzeitig aber auch mich. Jemand nahm mich noch auf eine gokarttour mit, in das Tunnel Nordwärts vor dem Bahnhof, und im Tunnel nahm er eine Linkskurve, um wieder südlich zu fahren.",1346749200000,2012-09-04 09:00:00
"Eine Gruppe junger Mädchen hatte sich links vom bivak, so wie es in echt stand, niedergelassen. Sie waren da wo der Wald links im abhang war. Es waren so an die 10 Mädchen.",1347354000000,2012-09-11 09:00:00
"Ich konnte soviel sirup trinken wie ich nur wollte. Es war roter sirup. Eine Frau im Hotel meinte ich solle doch ihr glas nehmen, ich nahm aber mein eigenes. Ich fuhr auch noch Velo, silvan fragte ob wir denn alles gelaufen seien, und ich bejahte , wir hätten  nun aber das Velo genommen, und ich sagte noch wie schnell man im schnitt vorwärts käme. Es war eine Grüne hügelige Landschaft.",1347440400000,2012-09-12 09:00:00
"Wachte in einem Haus oder hostel auf, wo auch silvan und andere Leute waren. Ich war im oberen stock, nahm mein Rucksack und ging die Treppe runter. (von unten gesehen waren die Räume alle links der Treppe). Im unteren Zimmer waren mehrere Kuchen und torten auf einem langen Tisch. Ich stellte mein Rucksack an die aussenwand. Ich könnte soviel Kuchen essen wie ich wollte, silvan hatte seine Mutter zum backen beauftragt.",1347526800000,2012-09-13 09:00:00
"Auf einem waldigen  hoger, mit mehreren Gebäuden. Pablo und andere Leute waren da. Von unten gabs  links ein Gebäude und rechts eines, welches eine Art Werkstatt war, mit einem Tor. Ich schaute von unten nach oben, es gab bäume und es war Nacht. Viele Leute liefen herum. Wir oder nur ich dealte. Es kam eine junge Frau wie mijana, welche in unsere Gruppe aufgenommen werden wollte, ich aber verlangte von ihr zuerst rauszufinden wo die feinde ihre Geschäfte abhielten. Sie meinte sie wisse es bereits, gewollte bleiben und unbedingt aufgenommen werden, ich aber schickte sie weg und blieb hart bei meiner Bedingung. Ich fühlte mich gut dabei. Ich sagte zu Pablo dass wir das schon früher so hätten  tun sollen, wir könnten einfach sagen wir würden etwas für die fasnacht herstellen, in der Werkstatt. Es kamen ein paar albaner, mit einem wägelchen mit Süßigkeiten, und hielten vor dem Tor. Es gab unter anderem ein Grosses gebäck, wiesen donut, mit puderzucker obendrauf. Eine spinne krabbelte darüber. Der albaner sagte er wisse ich wolle so eines, ich wolle aber sicher einen ganzen ? Er durchschaute  mich gut. Mich störte es nicht dass eine spinne über das Essen krabbelte.",1347613200000,2012-09-14 09:00:00
"Kam nach einer Reise bei Esther an, welche einen langen Tisch draussen deckte, unter einem unterstand. Es waren viele Leute da und sie gab sich Grosse mühe. Ich erzählte von meiner Reise, und ich hatte einen ganz rauhen, russischen Akzent. Dies sei vom langen wegbleiben , sagte ich auf Fragen hin. Ich sass am tischende, und silvan 2 oder 3 Personen entfernt auf meiner rechten. Er motzte über das Essen oder so. Ich traf eine Entscheidung und stand auf um den Ort zu verlassen. Die Leute waren einfach nicht dankbar der mühe die sich Esther um das Essen gemacht hatte.",1347699600000,2012-09-15 09:00:00
"War  in einem mehrstöckigem Haus, wo ein Wettbewerb stattfand, um Leben und Tod.
Man musste unter anderem in einem Raum mit spinnhuppeln am Boden kämpfen, und Stockwerke rauf und runter gehen. Dies über ein Treppenhaus welches auf der linken Seite die Treppe hatte, auf der rechten jeweils ein Raum mit Hindernissen (Von unten gesehen). In einem der Stockwerke waren zum Beispiel raubkatzen, mit welchen ich aber umzugehen wusste. Ich ging rauf, um gegen den uhrzeigersinn wieder runter zu gehen. Zuunterst  waren Stefan und viele andere, wir hielten ein Grosses festessen ab. Ich hatte Lust zu rauchen, oder wollte es nicht anmerken lassen dass ich wieder rauchte. Ich wusste dass ich die Zeit wo sie da waren nicht rauchen konnte.",1347786060000,2012-09-16 09:01:00
"In einem Zimmer auf dem bett auf meiner herzseite  gelegen. Eine fremde Frau zeigte mir ihre beschnittene vagina, ganz rosa und zugewachsen. Sie legte sich hinter mich und umarmte  mich, ich hatte Freude daran. Ich bekam eine Latte, und als sie mich streichelte kam sie 2 mal daran an, was mir unangenehm war weil ich sie nicht mit meiner Latte bedrängen wollte.",1347786000000,2012-09-16 09:00:00
Ich lief auf gaudibögen oder Böden. Es hattte Gebäude welche in gaudis Stil erbaut waren.,1347872460000,2012-09-17 09:01:00
"Mit basil und j. An einem Ort gewesen. Daniel Huber stellte mich jemandem vor der gefragt hatte wer das boot gezeichnet/geschrieben habe.
Dann kamen Warnungen vor einem Krieg oder vor Überschwemmungen im tv. Wir gingen deshalb südlich und hogerabwärts, und ich fragte wann denn diese Überschwemmungen oder kriege kämen, und jemand sagte mir neger welche Jung, in holzstammbooten einen trockenen Fluss mit ausgetrockneten wasserffällen hinunter fuhren. Sie waren wie wildwasserkanufahrer, aber ohne Wasser. Sie zogen in den Krieg.
Alte riesenneger kamen von diagonal unten links nach Hause. Sie waren müde und niedergeschlagen, die jungen zogen für sie in den Krieg.
Im Hintergrund, südlich hinter dem jungle /Urwald sah man eine riesige moderne Stadt, mit rötlichen wolkenkratzern. Es war njaragongo. Die neger aber lebten in einer vorsintflutlichen Welt. Njaragongo hatte das Wasser vernichtet.
Ich schaute und ward traurig, drehte mich um und weinte. Sie taten mir leid, und ich war es leid dieses ewige Leiden zu sehen.",1347872400000,2012-09-17 09:00:00
"Musste irgendwo übernachten, in einem Dorf wo es viele neger gab, vor welchen ich Angst hatte. J. War auch dabei. Wir schliefen draussen.",1347958800000,2012-09-18 09:00:00
Das deutsche Mädchen welches im gleichen hostel Zimmer schlief wie wir (in echt) sagte beim reinkommen  etwas über eine cognacflasche.,1348045200000,2012-09-19 09:00:00
"An einem Bahnhof oder Gleise, hatten neger eine Versammlung. Ich und. Waren auch da. Es war einen aufstand geplant, die neger versammelten sich und Sprachen über ein Radio. Der Grosse neger welcher den Ghetto auf den schultern trug, machte ein Rad, mithilfe seiner Nase. Alle hatten rindige holzstecken bei sich. Auch ich und j. Wir waren die einzigen weissen, wir waren aber akzeptiert weil wir auch holzstecken dabei hatten.
Ich sagte zu j, schade dass wir unsere eigenen stecken nicht dabei haben, wir würden damit führen (?). Dann griff der Staat ein, von rechts der Gleise kamen 2 Züge aus dem Tunnel, ferngesteuert, und verjagten die neger, dann verschwanden sie sofort wieder im Tunnel. Die neger flüchteten in alle Richtungen, nur wir 2 müssten nicht weil wir weisse waren. Ein neger auf der flucht (Carlos aus Ecuador?), rief mich auf mein Handy an. Ich könnte nichtig ihm sprechen, er aber sprach viel und schnell. Ein Auto hielt neben mir, von der gleichen Richtung wie die Züge kommend, auf der Strasse, voll mit negern. Die Beifahrerin fragte mich ob ich den Führer anrufen könne, dieser hängte gerade das Telefon auf. Ich überredete sie mir ihren Namen sowie Tel.Nummer zu geben, damit ich ihn anrufen könne und ihm mitteilen könne das sie ihn Suche. Sie misstraute mir zuerst, gab aber dann nach. Alle flüchteten weg von dem Tunnel da gleich die staatspolizei kommen würde. Es war die nacht der langen stecken.",1348131780000,2012-09-20 09:03:00
"Mit dem gelben vwbüssli auf der Gegenseite des Raumes von basil etwas aufgeladen, sehr schweres. Wir mussten pressieren. Wir luden das büssli von der Rückseite oder von der seitentür, auf alle fälle hohlten wir die Sachen von unten an einer Treppe hoch, welche hinter dem büssli  runterging. Sandro oder claudio Meier waren da.",1348131720000,2012-09-20 09:02:00
"Basil hatte in einem Raum einen Automaten, welchen ein murmeli Spiel unten bei der Getränke Öffnung hatte. Man konnte damitviel Geld verlieren. Der Automat spielte man auf kniehöhe. Der Raum war auf alle Seiten 4eckig, vom Eingang gings  etwa 3 treppenstufen in den Raum runter.",1348131660000,2012-09-20 09:01:00
Ich fragte einen Mann ob ich meinen pw bei ihm auf der Landstraße markieren dürfte. Ich musste im Gegenzug aber ein neues kaufen für etwa 3000 oder 4000. Dies war sehr teuer. Ich sagte jemandem ich müsse es deswegen schnell wieder hohlen. Es war eine karge steppige  Landschaft. Die Strasse war kiesig und staubig . Es war Tag.,1348131600000,2012-09-20 09:00:00
"Ich gehörte einem Volk an das vom aussterben bedroht war, weil die moderne Welt sich ausbreitete. Die moderne Welt war am fusse des hogers wo wir, das Volk, wohnten. Wir wohnten hauptsächlich im Wasser, alles war mit klarem blauem Wasser und Flüssen bedeckt. Unsere Welt war sehr klein und sie war verzaubert/versteckt. Es waren kleine Leute in unserem Dorf, oder wir waren klein und die Leute waren zigeuner, und niemand wollte ihnen helfen. Ich nahm mich ihrer an, um sie aus dem Dorf über die Wasser Wege zu führen. Wir könnten sehr gut schwimmen und erkannten die wasserströmungen hervorragend. Ich hatte die fremde Leute in eine Art nussschalenboot gesetzt, ich selbst schwamm und zog sie hinter mir her. Dann aber hinter dem Dorf merkte ich dass etwas mit dem wasserspiegel nicht stimmte oder die Strömung sich geändert hatte oder es einfach weniger geworden war. Zuvor war noch Wasser da, die moderne Welt hatte aber eine Quelle angezapft und nun hatte sich die gesamte wasserströmung geändert. Ich konnte die Leute unmöglich heranführen. Es war zwischen 2 Felsen, und eigentlich hätte nun eine Strömung kommen sollen die mich weiterführte, diese hatte aber geändert und der Wasserstand war so niedrig dass ich am Grund angekommen wäre. Ich ging in die moderne Welt, wo ein tavernen Besitzer unser Geheimnis kannte, um mit ihm über das Problem zu reden.",1348245900000,2012-09-21 16:45:00
"Ich und j. Ubernachteten draussen mit einer blauen plastikblache. Wir versuchten diese an eine beton wand zu spannen, was aber mehr schlecht als recht funktionierte. Es windete und/oder regnete. Ein Mann mit Familie schaute uns zu. J. Nörgelte und weinelte etwas rum, und ich wies sie zurecht, sie solle nicht komplizierter tun als notwendig. Der Untergrund war steinig, etwa 4 m breit im abhang bis zur Strasse runter.
Von da aus gingen wir zu einem compostela Festival für Leute oder auf dem weg nach compostela. Ein Pfarrer (der vom verdontal?) War da und sehr viele andere Leute. Es war auf einer grünen wiese auf einem hoger. Dr weg dahin war eine Landstraße, welche von der anderen hogerseite über den hoger zum Festival führte.",1348218000000,2012-09-21 09:00:00
"Ich Pisste in eine wc Schüssel, und alles ging daneben. Die Pisse spritzte in alle Richtungen und kam nicht in einem geraden strahl raus.",1348332300000,2012-09-22 16:45:00
"Ich und j. Tranken kaffe, an einem Ort in der Natur, und eine ganz kleine menschin oder puppe war zwischen uns zu meiner rechten und ihrer linken. Sie war etwa 20 cm hoch. Die servierfrau, eine ganz alte, gab Zuerst j. Kaffee, Länder kleinen lebendigen puppe, dann fragte sie mich ob ich solchen Kaffee wolle (sie verwendete einen speziellen Ausdruck), und ich bejahte. J. Sagte, dann bekommst du einen gestreckten, und ich erwiderte, aha, nicht so einen wie ihn die puppe bekommen hat?",1348332300000,2012-09-22 16:45:00
"Ich wohnte/ubernachtete in einem Riesen Haus, aus holz gebaut. Ich schlief im letzten Zimmer als sehr viele junge Leute einzogen, als erste 2 junge Frauen. Sie zogen überall ein und fingen an umzubauen. Ich stand auf und ordnete meine Sachen. Ich merkte dass ich neben der bauplastik Rolle welche ich schon in Marseille nicht mehr hatte, auch noch ein riesiges blaues zeichnungsbuch dabei hatte, und dass ich sinnloserweise ein neues gekauft hatte. Ich war mit dem Rucksack unterwegs, hatte aber Sachen dabei ie ich unter den arm Klemens musste. Im Vorraum war eine holzsäule, zuunterst Ca. 10 auf 10 cm, gegen oben verjüngt, quadratisch etwa alle Meter einmal. War es mein wanderstock?
Auch draussen bauten die Leute um, und mussten einen holzboden befeuchten, nachdem Stefan sie zusammenschiss weil alles staubig war. Das Wasser tropfte zwischen den späten in den unteren Raum und er blieb lange feucht. Die spälte waren Ca. 1 cm breit. Draussen bauten sie holzrahmen mit Plastik flächen zusammen, wie riesige staubwände oder Drachen. Ich redete viel mit ihnen, vorallem im Haus, und half ihnen mit j. Bei den holz und Plastik wänden.
Dann gingen wir nach irgendwohin, ins Grüne, und ich schlug ein weißer lederball mit einem baseballschläger vor mir hin. Als die Leute in der grünen Natur verstreut waren, ging ich der Strasse entlang weiter bis ich an dessen kam das ich bereits kannte, so kam es mir vor. Es war ein carrefour links der Strasse, sowie dann einige einfamilienhäuser, und die Strasse ging rechts in einer kurve weiter. Lsd ich beim velounterstand des letzten Hauses ankam, wollte ich umkehren um der kurve entlang ins Dorf zu gehen. Ein junger Nazi den ich kannte kam mir entgegen. Mit ihm und seinem Kollegen wollte ich gemeinsame Sache machen. Ich hatte immer noch den baseballschläger und der weisse Fussball bei mir.
Als ich den einen Nazi (beide waren etwa 14 Jahre alt) rumschupfen wollte, merkte ich dass ich Schwierigkeiten hatte damit. Er wollte mein Bruder auch mit dabei haben, ich bedrohte ihn aber dies ja sein zu lassen. Wir waren gerade aus einem lift gekommen, von unten nach oben, und rechts um die ecke am liftschacht war mein baseballschläger, nach welchem ich griff.",1348418700000,2012-09-23 16:45:00
"An einem sandsteinfelsigen Ort mit einem Arbeitgeber etwas vorbereitet oder gepackt.
Mit einem töffli an einen Ort gefahren
Auf einem berg gewohnt.
Pablo kam dahin mit einem Kollegen (urs ?) Und erklärte ihm dass man da alphorn spielen könne. (Schau, hier kann man alphorn spielen!), und zwar weil es offen war, kein berg war höher als der wo wir drauf waren. Zuvor hatte es sein Kollege in einer schlucht oder senke versucht. J. Fragte ständig was wir machen sollen, obwohl wir ganz klar ausgemacht hatten dass sie heute entscheiden würde, fragte sie keine 5 min. Später wieder was machen wir?",1348418700000,2012-09-23 16:45:00
"Ich musste mehrmals um 6 Uhr 00 aufstehen und nervte mich darüber. Ich richtete eine Grosse zwiebel taschenuhr, welche um 5 min. Spiel hatte. Ich richtete auch eine andere Uhr auf 10 vor 6. Dann ging ich hogerabwärts, wo elvis (von unten gesehen links) ganz trockene tomatenstauden mit einem tropfsystem bewässerte. Er hatte mehrere Schläuche den stauden entlang aufgehängt, und an dessen enden kamen regelmässig wassertropfen raus. Die stauden hingen Inder Luft, die Erde die hätte da sein sollen bei den wurzeln war egal, an dessen Stelle waren Gräben. Es gab auch stauden wo rote Tomaten dranhingen. Ich dass welche. Auch dass ich einen peyote, die er in einer Reihe Züchtete, ich schmiss ihn aber nach einem bissen weg, weil er noch hart und unreif war. Dann ging ich mit Maya (?) Richtung Arbeitsplatz, wir waren mit töfflis unterwegs, und als sie ihres startete wusste ich wie meine zu starten war. Ich hatte vorhin nur getreten, wie bei einem Velo, und als ich den kleinen Hebel links unter der bremse zog, startete der Motor. Das machte es einfacher. Unter der Unterführung, dann rechts der Strasse entlang, bedrohte oder verursachte mich ein junger (Ca 14). Ich würde sauer auf ihn und versuchte davonzukommen, aber das töffli zog nur langsam an. Der junge war zwischen mir und der Strasse über der Unterführung, rechts von mir.",1348505100000,2012-09-24 16:45:00
"War in einem Grossen Gebäude, an dessen Ende fuhren Busse ab, unter anderem nach China. Ich sah das und wollte wissen wie teuer sie waren. Es war enorm teuer, ich sagte jemandem wie teuer das war. Am anderen Ende war eine Werkstatt, wo mich mehrere Handwerker, Grosse und starke wegen irgendwas bestrafen wollten. Sie kreisten und wollten mich mit eisenstangen ""behandeln"".",1348606200000,2012-09-25 20:50:00
"Ich war Einbrecher mit 2 anderen und musste schmiere stehen. Es gab da noch 2 höhlen welche von einer 3tten höhle aus mit Feuer beheizt wurden. Wir mussten schnell sein, das Auto oder der Jeep stand mit laufendem Motor bereit.",1348692600000,2012-09-26 20:50:00
"Ich und Daniel räumten eine Baustelle. Christa war da und sagte zu Daniel er solle amandas (salomes?) Horoskop unbedingt wieder mitnehmen.
Sie zeigten es mir, es war ein Papier, Ca. 1.5 m breit und mehrere Meter lang, zusammengefaltet im handorelsystem. Sie falteten es auseinander und wir fanden sofort den schützen (das Symbol) welcher noch das wassersymbol neben sich hatte (mehrere Wellen übereinander). Ie bedeutete das ihnen eine wasserratte sei. Das Papier Wrack sehr dünn (seidenpapier?) Und als wir es wieder falten wollten, gings daneben. Ich und Daniel Zone es über die Baustelle aus, um es aufzurollen, es hängten mehrere efeu Sträucher und erdklumpen mit ein. Eine Frau war noch weiter hinten, an einem dieser Baustellen fernrohre, und diskutierte etwas mit Daniel auf Distanz. Die Baustelle war erdig, etwa 5 m breit und min. 20 m lang.",1348692600000,2012-09-26 20:50:00
